date,CPI
1976-01,18.8
1976-02,19
1976-03,19.3
1976-04,19.1
1976-05,19.1
1976-06,19.1
1976-07,19
1976-08,19.1
1976-09,19.5
1976-10,19.6
1976-11,19.7
1976-12,19.5
1977-01,19.7
1977-02,19.8
1977-03,19.9
1977-04,20.1
1977-05,20.6
1977-06,20.7
1977-07,20.8
1977-08,21.1
1977-09,21.3
1977-10,21.4
1977-11,21.4
1977-12,21.3
1978-01,21.4
1978-02,21.4
1978-03,21.6
1978-04,21.9
1978-05,22.2
1978-06,22.5
1978-07,22.5
1978-08,22.6
1978-09,22.7
1978-10,23
1978-11,23
1978-12,22.9
1979-01,23
1979-02,23
1979-03,23.1
1979-04,23.5
1979-05,23.8
1979-06,24
1979-07,24.6
1979-08,24.9
1979-09,25.5
1979-10,26.1
1979-11,26.2
1979-12,26.2
1980-01,26.9
1980-02,27.7
1980-03,28.2
1980-04,28.5
1980-05,29.6
1980-06,29.8
1980-07,29.6
1980-08,29.9
1980-09,30
1980-10,30.4
1980-11,30.8
1980-12,30.6
1981-01,31.2
1981-02,31.6
1981-03,32.4
1981-04,32.8
1981-05,33
1981-06,33.2
1981-07,33.2
1981-08,33.3
1981-09,33.7
1981-10,33.9
1981-11,34.1
1981-12,34.3
1982-01,34.2
1982-02,34.3
1982-03,34.6
1982-04,34.4
1982-05,34.8
1982-06,34.8
1982-07,34.7
1982-08,34.7
1982-09,35
1982-10,35.2
1982-11,35.5
1982-12,35.2
1983-01,35
1983-02,35.3
1983-03,35.4
1983-04,35.6
1983-05,36
1983-06,36.2
1983-07,36.2
1983-08,36.6
1983-09,36.8
1983-10,36.8
1983-11,36.9
1983-12,36.6
1984-01,36.3
1984-02,36.3
1984-03,36.3
1984-04,36.5
1984-05,36.7
1984-06,36.4
1984-07,36.3
1984-08,36.4
1984-09,36.4
1984-10,36.6
1984-11,36.3
1984-12,36.3
1985-01,36.5
1985-02,36.9
1985-03,37
1985-04,37.1
1985-05,37.3
1985-06,37.3
1985-07,37.3
1985-08,37.4
1985-09,37.6
1985-10,37.8
1985-11,37.7
1985-12,37.6
1986-01,37.5
1986-02,37.5
1986-03,37.8
1986-04,37.8
1986-05,37.9
1986-06,37.9
1986-07,37.9
1986-08,38.1
1986-09,38.3
1986-10,38.3
1986-11,38.3
1986-12,38.3
1987-01,38.3
1987-02,38.3
1987-03,38.3
1987-04,38.5
1987-05,38.7
1987-06,38.9
1987-07,38.9
1987-08,39.2
1987-09,39.3
1987-10,39.3
1987-11,39.6
1987-12,39.7
1988-01,39.5
1988-02,39.9
1988-03,40.1
1988-04,40.2
1988-05,40.3
1988-06,40.3
1988-07,40.3
1988-08,40.5
1988-09,40.9
1988-10,41.1
1988-11,40.9
1988-12,40.9
1989-01,41.2
1989-02,41.7
1989-03,41.7
1989-04,41.7
1989-05,42.1
1989-06,42.2
1989-07,42.8
1989-08,43.3
1989-09,43.5
1989-10,43.7
1989-11,43.7
1989-12,43.5
1990-01,43.7
1990-02,44
1990-03,44.2
1990-04,44.6
1990-05,44.8
1990-06,45
1990-07,45.1
1990-08,45.2
1990-09,45.4
1990-10,46.3
1990-11,46.5
1990-12,46.3
1991-01,46.4
1991-02,46.7
1991-03,46.7
1991-04,47.2
1991-05,47.7
1991-06,47.7
1991-07,47.5
1991-08,48
1991-09,48.4
1991-10,48.7
1991-11,48.7
1991-12,48.4
1992-01,48.7
1992-02,48.7
1992-03,48.7
1992-04,48.8
1992-05,49.7
1992-06,49.9
1992-07,50
1992-08,50.3
1992-09,50.3
1992-10,50.3
1992-11,50.1
1992-12,50
1993-01,50.1
1993-02,50.3
1993-03,50.3
1993-04,50.9
1993-05,51
1993-06,51.1
1993-07,51.6
1993-08,51.6
1993-09,52.1
1993-10,52.1
1993-11,51.9
1993-12,52.1
1994-01,52.5
1994-02,52.6
1994-03,53
1994-04,53.2
1994-05,53.6
1994-06,54
1994-07,54.1
1994-08,54.3
1994-09,54.9
1994-10,55
1994-11,54.8
1994-12,54.6
1995-01,55
1995-02,55.2
1995-03,55.5
1995-04,55.9
1995-05,56.5
1995-06,56.9
1995-07,57.1
1995-08,57.6
1995-09,58.1
1995-10,58.7
1995-11,58.7
1995-12,58.7
1996-01,59
1996-02,59.4
1996-03,59.5
1996-04,59.8
1996-05,60
1996-06,60
1996-07,60.2
1996-08,60.8
1996-09,60.9
1996-10,61.1
1996-11,61.5
1996-12,61.5
1997-01,61.6
1997-02,62
1997-03,62.3
1997-04,62.4
1997-05,62.6
1997-06,62.7
1997-07,63.1
1997-08,64.8
1997-09,65.1
1997-10,65.7
1997-11,66.1
1997-12,66.1
1998-01,66.9
1998-02,67.5
1998-03,68.1
1998-04,68.6
1998-05,69
1998-06,69.3
1998-07,69.4
1998-08,69.7
1998-09,69.5
1998-10,69.4
1998-11,69.1
1998-12,69
1999-01,69.1
1999-02,69.2
1999-03,69
1999-04,69
1999-05,68.6
1999-06,68.5
1999-07,68.7
1999-08,69
1999-09,69
1999-10,69
1999-11,69.1
1999-12,69.4
2000-01,69.6
2000-02,69.9
2000-03,69.9
2000-04,69.7
2000-05,69.8
2000-06,69.9
2000-07,70
2000-08,70.5
2000-09,70.6
2000-10,70.4
2000-11,70.5
2000-12,70.5
2001-01,70.6
2001-02,70.9
2001-03,70.9
2001-04,71.4
2001-05,71.7
2001-06,71.4
2001-07,71.4
2001-08,71.4
2001-09,71.6
2001-10,71.3
2001-11,71.1
2001-12,70.9
2002-01,71.1
2002-02,71.2
2002-03,71.3
2002-04,71.8
2002-05,71.9
2002-06,71.7
2002-07,71.6
2002-08,71.7
2002-09,72
2002-10,72.3
2002-11,72.1
2002-12,72.1
2003-01,72.7
2003-02,72.6
2003-03,72.6
2003-04,72.9
2003-05,73.2
2003-06,72.9
2003-07,72.9
2003-08,73.3
2003-09,73.2
2003-10,73.3
2003-11,73.4
2003-12,73.4
2004-01,73.7
2004-02,74.2
2004-03,74.4
2004-04,74.7
2004-05,75
2004-06,75.2
2004-07,75.3
2004-08,75.5
2004-09,75.8
2004-10,75.8
2004-11,75.5
2004-12,75.5
2005-01,75.6
2005-02,76
2005-03,76.8
2005-04,77.3
2005-05,77.8
2005-06,78
2005-07,79.2
2005-08,79.8
2005-09,80.3
2005-10,80.6
2005-11,80
2005-12,79.9
2006-01,80.1
2006-02,80.2
2006-03,81.1
2006-04,82
2006-05,82.6
2006-06,82.6
2006-07,82.8
2006-08,82.8
2006-09,82.5
2006-10,82.9
2006-11,82.8
2006-12,82.8
2007-01,82.5
2007-02,82.2
2007-03,82.7
2007-04,83.5
2007-05,84.2
2007-06,84.2
2007-07,84.2
2007-08,83.7
2007-09,84.2
2007-10,84.9
2007-11,85.3
2007-12,85.3
2008-01,86.1
2008-02,86.6
2008-03,87.1
2008-04,88.6
2008-05,90.6
2008-06,91.5
2008-07,91.9
2008-08,89.2
2008-09,89.3
2008-10,88.2
2008-11,87.1
2008-12,85.7
2009-01,85.7
2009-02,86.5
2009-03,86.9
2009-04,87.8
2009-05,87.6
2009-06,87.9
2009-07,87.9
2009-08,88.2
2009-09,88.4
2009-10,88.5
2009-11,88.8
2009-12,88.7
2010-01,89.22
2010-02,89.72
2010-03,89.92
2010-04,90.37
2010-05,90.55
2010-06,90.78
2010-07,90.92
2010-08,91.14
2010-09,91.07
2010-10,91.09
2010-11,91.29
2010-12,91.43
2011-01,91.93
2011-02,92.3
2011-03,92.75
2011-04,94.03
2011-05,94.35
2011-06,94.47
2011-07,94.64
2011-08,95.05
2011-09,94.73
2011-10,94.91
2011-11,95.12
2011-12,94.66
2012-01,95.03
2012-02,95.38
2012-03,95.95
2012-04,96.35
2012-05,96.73
2012-06,96.89
2012-07,97.22
2012-08,97.61
2012-09,97.93
2012-10,98.06
2012-11,97.71
2012-12,98.09
2013-01,98.25
2013-02,98.46
2013-03,98.52
2013-04,98.68
2013-05,98.92
2013-06,99.07
2013-07,99.17
2013-08,99.16
2013-09,99.32
2013-10,99.49
2013-11,99.59
2013-12,99.73
2014-01,100.15
2014-02,100.39
2014-03,100.6
2014-04,101.1
2014-05,101.51
2014-06,101.4
2014-07,101.32
2014-08,101.23
2014-09,101.06
2014-10,100.96
2014-11,100.84
2014-12,100.33
2015-01,99.74
2015-02,99.86
2015-03,100.03
2015-04,100.05
2015-05,100.22
2015-06,100.32
2015-07,100.25
2015-08,100.03
2015-09,99.98
2015-10,100.18
2015-11,99.86
2015-12,99.47
2016-01,99.21
2016-02,99.36
2016-03,99.57
2016-04,100.11
2016-05,100.68
2016-06,100.71
2016-07,100.36
2016-08,100.32
2016-09,100.36
2016-10,100.52
2016-11,100.46
2016-12,100.59
2017-01,100.75
2017-02,100.79
2017-03,100.33
2017-04,100.49
2017-05,100.64
2017-06,100.66
2017-07,100.53
2017-08,100.64
2017-09,101.22
2017-10,101.38
2017-11,101.45
2017-12,101.37
2018-01,101.44
2018-02,101.21
2018-03,101.12
2018-04,101.57
2018-05,102.14
2018-06,102.05
2018-07,102
2018-08,102.27
2018-09,102.57
2018-10,102.63
2018-11,102.4
2018-12,101.73
2019-01,101.71
2019-02,101.95
2019-03,102.37
2019-04,102.82
2019-05,103.31
2019-06,102.94
2019-07,103
2019-08,102.8
2019-09,102.9
2019-10,102.74
2019-11,102.61
2019-12,102.62
2020-01,102.78
2020-02,102.7
2020-03,101.82
2020-04,99.75
2020-05,99.76
2020-06,101.32
2020-07,101.99
2020-08,102.29
2020-09,102.18
2020-10,102.23
2020-11,102.19
